ISO	Source	Entries
aar	wikipron	1582
abc	abvd	123
abd	abvd	300
abk	northeuralex	980
abk	wikipron	141
abl	abvd	477
abp	abvd	139
abs	abvd	200
abx	abvd	279
ace	abvd	397
acw	wikipron	2252
ady	northeuralex	928
ady	wikipron	5118
aek	abvd	363
afb	wikipron	719
afr	wikipron	2019
agf	abvd	176
agn	abvd	237
agt	abvd	177
agv	abvd	178
agw	abvd	415
ahb	abvd	867
aia	abvd	341
aie	abvd	217
aii	wikipron	4543
ain	northeuralex	857
ais	abvd	190
aji	abvd	358
ajp	wikipron	3124
akb	abvd	237
akg	abvd	451
akk	wikipron	601
akl	abvd	235
akr	abvd	278
akt	abvd	206
ale	northeuralex	895
ale	wikipron	113
alj	abvd	244
alm	abvd	111
alp	abvd	375
alu	abvd	424
amh	wikipron	378
ami	abvd	643
amk	abvd	187
amq	abvd	202
and	abvd	185
ane	abvd	551
ang	wikipron	22094
anx	abvd	171
aok	abvd	139
aor	abvd	152
aot	wikipron	181
aoz	abvd	205
apb	abvd	1188
app	abvd	544
aps	abvd	169
apw	wikipron	147
apx	abvd	121
aqc	wold	1101
aqr	abvd	135
ara	wikipron	13339
arb	northeuralex	1087
arc	wikipron	1167
arg	wikipron	298
arn	wold	1267
ary	wikipron	2043
arz	wikipron	200
asl	abvd	314
asm	wikipron	2925
ast	wikipron	1010
asz	abvd	160
atd	abvd	233
atk	abvd	579
att	abvd	200
aty	abvd	708
atz	abvd	208
aua	abvd	183
aud	abvd	215
aui	abvd	165
aul	abvd	790
aut	abvd	406
ava	northeuralex	954
avb	abvd	165
axx	abvd	326
ayl	wikipron	163
aze	wikipron	382
azj	northeuralex	1017
baa	abvd	839
bak	northeuralex	962
bak	wikipron	124
ban	abvd	286
ban	wikipron	410
bar	wikipron	1516
bay	abvd	205
bbc	abvd	231
bbl	wikipron	167
bbn	abvd	154
bbn	wikipron	192
bca	sinotibetan	268
bcd	abvd	120
bch	abvd	201
bcl	abvd	429
bcl	wikipron	4927
bcm	abvd	247
bcu	abvd	247
bdd	abvd	202
bdg	abvd	159
bdl	abvd	1184
bdq	wikipron	193
beg	abvd	210
bei	abvd	213
bek	abvd	222
bel	northeuralex	1042
bel	wikipron	5508
ben	northeuralex	929
ben	wikipron	9651
bgi	abvd	285
bgt	abvd	413
bgz	abvd	203
bhp	abvd	241
bhq	abvd	214
bhv	abvd	81
bhw	abvd	354
biq	abvd	103
bjb	wikipron	136
bjk	abvd	151
bjl	abvd	166
bjn	abvd	211
bkd	abvd	209
bki	abvd	175
bku	abvd	410
bkz	abvd	519
blf	abvd	205
blp	abvd	311
blq	abvd	103
blt	wikipron	239
blw	abvd	178
blx	abvd	138
bmk	abvd	151
bna	abvd	198
bnd	abvd	205
bnf	abvd	366
bnk	abvd	517
bnn	abvd	900
bno	abvd	129
bnp	abvd	196
bnq	abvd	232
bnr	abvd	186
bny	abvd	208
bod	sinotibetan	298
bod	wikipron	2698
bpa	abvd	478
bpk	abvd	143
bpr	abvd	232
bps	abvd	222
bre	northeuralex	923
bre	wikipron	765
brj	abvd	988
brr	abvd	201
brz	abvd	152
bsk	northeuralex	863
bsu	abvd	135
btn	abvd	190
bto	abvd	231
btr	abvd	408
btw	abvd	273
btx	abvd	218
bty	abvd	378
bua	northeuralex	1169
bua	wikipron	123
bug	abvd	239
bul	northeuralex	1106
bul	wikipron	42228
bvc	abvd	193
bvd	abvd	203
bvk	abvd	183
bvy	abvd	48
bwa	abvd	245
bwb	abvd	200
bwd	abvd	305
bxa	abvd	473
bxf	abvd	184
bxh	abvd	170
bya	abvd	179
byq	abvd	256
bzb	abvd	216
bzg	abvd	1486
bzh	abvd	38
bzq	abvd	212
cal	abvd	589
cam	abvd	420
car	wold	1182
cat	northeuralex	1037
cat	wikipron	176
cbn	wikipron	151
ceb	abvd	246
ceb	wikipron	2944
ces	northeuralex	996
ces	wikipron	43476
cgc	abvd	231
cha	abvd	275
chb	wikipron	122
che	northeuralex	932
che	wikipron	172
chk	abvd	585
cho	wikipron	119
chr	wikipron	102
chv	northeuralex	1042
cia	abvd	358
cic	wikipron	286
cir	abvd	529
cja	abvd	223
cje	abvd	197
cjm	abvd	193
ckb	wikipron	288
ckt	northeuralex	993
ckv	abvd	742
clu	abvd	188
cmn	northeuralex	939
cmn	wold	1911
cnh	sinotibetan	200
cnk	wikipron	350
cop	wikipron	820
cor	wikipron	170
cos	wikipron	473
cps	abvd	151
crc	abvd	161
crk	wikipron	108
crs	wold	1844
crx	wikipron	175
csb	wikipron	817
cwg	wold	854
cym	northeuralex	1054
cym	wikipron	20766
cyo	abvd	194
dad	abvd	144
dan	northeuralex	1010
dan	wikipron	4640
dar	northeuralex	1055
dbj	abvd	225
ddi	abvd	168
ddo	northeuralex	868
ddw	abvd	126
deu	northeuralex	1003
deu	wikipron	48562
dgc	abvd	175
dhv	abvd	374
dij	abvd	123
div	wikipron	1524
dix	abvd	497
dlm	wikipron	176
dmr	abvd	121
dng	wikipron	255
dob	abvd	390
don	abvd	140
dor	abvd	194
drn	abvd	119
dru	abvd	1469
dsb	wikipron	2232
dsb	wold	1575
dtp	abvd	227
due	abvd	107
duf	abvd	324
dul	abvd	224
dum	wikipron	215
duo	abvd	230
duu	sinotibetan	262
dww	abvd	193
dzo	wikipron	212
ebk	abvd	194
egy	wikipron	4046
ekk	northeuralex	1057
ell	northeuralex	1023
ell	wikipron	15172
emb	abvd	224
emi	abvd	283
emw	abvd	119
end	abvd	147
enf	northeuralex	838
eng	northeuralex	945
eng	wikipron	110159
eng	wold	758
enm	wikipron	10523
eno	abvd	662
epo	wikipron	3947
erg	abvd	372
erk	abvd	318
ess	northeuralex	814
est	wikipron	1770
etn	abvd	174
ett	wikipron	207
eus	northeuralex	1091
eus	wikipron	7981
evn	northeuralex	1118
evn	wikipron	126
ewe	wikipron	128
faf	abvd	439
fao	wikipron	1932
far	abvd	183
fas	wikipron	554
fax	wikipron	538
fij	abvd	543
fin	northeuralex	1084
fin	wikipron	157316
fnb	abvd	182
fos	abvd	886
fra	northeuralex	1084
fra	wikipron	80114
frd	abvd	106
fro	wikipron	929
frr	wikipron	167
frt	abvd	156
fry	wikipron	1060
fud	abvd	298
fut	abvd	480
fwa	abvd	346
gad	abvd	180
gal	abvd	313
gay	abvd	235
gdd	abvd	334
gei	abvd	179
ges	abvd	195
gfk	abvd	219
gga	abvd	195
ggt	abvd	186
ghn	abvd	390
gil	abvd	338
gla	wikipron	3121
gld	northeuralex	887
gle	northeuralex	1102
gle	wikipron	14270
glg	wikipron	5015
glv	wikipron	208
gmb	abvd	184
gml	wikipron	171
goh	wikipron	141
goo	abvd	72
gor	abvd	212
got	wikipron	1785
grc	wikipron	119462
gri	abvd	516
grn	wikipron	210
gsw	wikipron	466
gue	wold	841
guj	wikipron	2058
gur	wikipron	104
guw	wikipron	657
gvs	abvd	259
gwd	wold	971
gzn	abvd	233
hao	abvd	196
hat	wikipron	1449
hau	wikipron	1928
hau	wold	1442
haw	abvd	122
haw	wikipron	922
haw	wold	1129
hbs	wikipron	47414
heb	northeuralex	988
heb	wikipron	1957
hil	abvd	361
hil	wikipron	331
hin	northeuralex	1365
hin	wikipron	25269
hiw	abvd	343
hla	abvd	147
hnn	abvd	436
hoa	abvd	188
hot	abvd	182
hrc	abvd	192
hrv	northeuralex	1220
hrw	abvd	205
hrx	wikipron	1653
hsb	wikipron	356
hts	wikipron	306
htu	abvd	191
hul	abvd	192
hun	northeuralex	1097
hun	wikipron	62183
huq	abvd	199
huu	wikipron	313
hvk	abvd	343
hvn	abvd	382
hye	northeuralex	1049
hye	wikipron	30688
iai	abvd	360
iba	abvd	244
iba	wikipron	519
ibg	abvd	211
ibl	abvd	417
ido	wikipron	7989
ifa	abvd	177
ifb	abvd	169
iff	abvd	46
ify	abvd	351
ilk	abvd	263
ill	abvd	214
ilo	abvd	205
ilo	wikipron	803
ilu	abvd	304
imr	abvd	121
ina	wikipron	321
ind	abvd	220
ind	wikipron	4909
ind	wold	1744
inh	wikipron	166
inn	abvd	242
irh	abvd	378
irk	wold	1112
iry	abvd	203
isd	abvd	180
isl	northeuralex	1089
isl	wikipron	9784
ita	northeuralex	885
ita	wikipron	79521
itb	abvd	179
itl	northeuralex	603
itv	abvd	557
ivv	abvd	1496
izh	wikipron	7561
jae	abvd	209
jaj	abvd	191
jam	wikipron	204
jav	abvd	1001
jav	wikipron	664
jax	abvd	210
jaz	abvd	521
jje	wikipron	739
jmd	abvd	244
jpn	northeuralex	1002
jpn	wikipron	33507
jpn	wold	1902
jra	abvd	235
jup	wold	979
jya	sinotibetan	259
kac	sinotibetan	259
kak	abvd	178
kal	northeuralex	953
kal	wikipron	1527
kan	northeuralex	946
kan	wikipron	884
kap	wold	1333
kas	wikipron	524
kat	northeuralex	1108
kat	wikipron	17212
kaw	wikipron	592
kaz	northeuralex	1208
kaz	wikipron	231
kbd	wikipron	858
kbt	abvd	188
kca	northeuralex	863
kcl	abvd	110
kdk	abvd	304
kei	abvd	206
kek	wold	1764
kem	abvd	176
ket	northeuralex	792
ket	wold	987
kge	abvd	901
kgp	wikipron	106
khb	wikipron	499
khk	northeuralex	1152
khm	wikipron	6302
khz	abvd	343
kij	abvd	258
kik	wikipron	1147
kir	wikipron	562
kis	abvd	120
kix	wikipron	181
kje	abvd	200
kji	abvd	195
kkk	abvd	183
kld	wikipron	515
klj	wikipron	2001
klr	sinotibetan	233
klv	abvd	813
klx	abvd	230
kmk	abvd	227
kml	abvd	180
kmr	northeuralex	985
kmr	wikipron	2123
knb	abvd	214
knc	wold	1414
kne	abvd	223
kod	abvd	387
koi	northeuralex	950
koi	wikipron	182
kok	wikipron	172
kor	northeuralex	974
kor	wikipron	25800
kos	abvd	359
kpg	abvd	262
kpv	northeuralex	1035
kpv	wikipron	830
kqe	abvd	181
kqw	abvd	179
krf	abvd	164
krj	abvd	227
krl	northeuralex	1114
krl	wikipron	417
ksc	abvd	171
ksd	abvd	548
kse	abvd	236
ksg	abvd	186
ksw	wikipron	177
ksx	abvd	210
ktk	abvd	71
ktz	wikipron	98
kud	abvd	220
kvc	abvd	226
kvo	abvd	166
kvr	abvd	354
kvv	abvd	208
kwd	abvd	200
kwf	abvd	224
kwh	abvd	227
kwk	wikipron	57
kxa	abvd	237
kxd	abvd	166
kxd	wikipron	351
kyk	abvd	222
kys	abvd	55
kyu	wikipron	128
kzi	abvd	224
kzk	abvd	95
kzp	abvd	200
kzs	abvd	215
kzt	abvd	215
kzu	abvd	196
lad	wikipron	120
lao	wikipron	4180
lat	northeuralex	1017
lat	wikipron	65299
lav	northeuralex	1206
lav	wikipron	1311
lbb	abvd	155
lbe	northeuralex	1048
lbk	abvd	456
lbq	abvd	253
lbv	abvd	188
lbw	abvd	611
lbx	abvd	189
lcm	abvd	267
lek	abvd	264
leu	abvd	354
lex	abvd	394
lez	northeuralex	969
lga	abvd	370
lgb	abvd	211
lgk	abvd	384
lgl	abvd	190
lgr	abvd	399
lgu	abvd	225
lhn	abvd	174
lht	abvd	165
lib	abvd	180
lid	abvd	313
lif	sinotibetan	218
lif	wikipron	108
lih	abvd	223
lij	wikipron	814
lim	wikipron	935
lis	sinotibetan	252
lit	northeuralex	1211
lit	wikipron	363
liv	northeuralex	1040
liv	wikipron	384
ljl	abvd	204
ljp	abvd	1373
lkn	abvd	167
llf	abvd	96
llm	abvd	216
llp	abvd	874
llu	abvd	430
llx	abvd	73
lmb	abvd	316
lmg	abvd	208
lml	abvd	757
lmo	wikipron	486
lmr	abvd	191
lmu	abvd	845
lmy	abvd	217
lmy	wikipron	129
lnd	abvd	223
lnn	abvd	151
loc	abvd	463
loj	abvd	194
los	abvd	206
lou	wikipron	240
lpa	abvd	417
lrv	abvd	166
lrz	abvd	415
lsi	wikipron	324
ltg	wikipron	443
lti	abvd	216
ltz	wikipron	4002
lut	wikipron	121
lwl	wikipron	253
lww	abvd	735
lzl	abvd	551
lzz	wikipron	305
mad	abvd	213
mah	abvd	415
mah	wikipron	934
mai	wikipron	164
mak	abvd	202
mak	wikipron	432
mal	northeuralex	966
mal	wikipron	7100
mar	wikipron	2681
max	abvd	207
mbb	abvd	332
mbd	abvd	180
mbh	abvd	197
mbi	abvd	182
mbq	abvd	361
mbs	abvd	179
mbt	abvd	179
mdf	northeuralex	993
mdf	wikipron	131
mdh	abvd	294
mee	abvd	210
mek	abvd	418
mel	abvd	217
met	abvd	327
meu	abvd	238
mfb	abvd	366
mfe	wikipron	205
mft	abvd	105
mga	wikipron	317
mgl	abvd	187
mgm	abvd	184
mhr	northeuralex	992
mhs	abvd	236
mhy	abvd	219
mhz	abvd	397
mic	wikipron	203
min	abvd	218
mjk	abvd	189
mkd	wikipron	62051
mkj	abvd	167
mkm	abvd	158
mkt	abvd	143
mkv	abvd	155
mky	abvd	340
mla	abvd	344
mlg	abvd	213
mlg	wikipron	184
mll	abvd	1180
mln	abvd	211
mlt	wikipron	18353
mlu	abvd	362
mlv	abvd	378
mlx	abvd	681
mme	abvd	549
mmg	abvd	243
mmm	abvd	176
mmn	abvd	182
mmt	abvd	175
mmw	abvd	293
mmx	abvd	191
mna	abvd	204
mnb	abvd	349
mnc	northeuralex	1205
mnc	wikipron	1467
mnl	abvd	149
mns	northeuralex	992
mnv	abvd	372
mnw	wikipron	1079
mog	abvd	222
mon	wikipron	3442
mox	abvd	250
mpn	abvd	184
mpr	abvd	307
mpx	abvd	268
mqn	abvd	256
mqs	wikipron	793
mqy	abvd	227
mqz	abvd	300
mrb	abvd	481
mri	abvd	383
mrj	northeuralex	1018
mrk	abvd	148
mrl	abvd	358
mrm	abvd	421
mrn	abvd	472
mrp	abvd	244
mrq	abvd	434
mrs	abvd	603
mrv	abvd	258
mrw	abvd	214
msa	wikipron	4181
msb	abvd	257
msk	abvd	226
msn	abvd	323
msq	abvd	325
mta	abvd	188
mte	abvd	363
mtq	wikipron	144
mtt	abvd	365
mva	abvd	203
mvd	abvd	199
mvn	abvd	206
mvo	abvd	218
mvt	abvd	495
mwh	abvd	374
mwi	abvd	743
mwo	abvd	2139
mwt	abvd	219
mwv	abvd	722
mww	wikipron	415
mww	wold	1242
mxd	abvd	617
mxe	abvd	374
mxm	abvd	159
mxr	abvd	54
mxz	abvd	120
mya	wikipron	6075
myv	northeuralex	957
myw	abvd	351
mzh	wold	1179
mzq	abvd	186
nak	abvd	488
nal	abvd	300
nap	wikipron	201
nau	abvd	221
nav	wikipron	311
ncc	abvd	101
nci	wikipron	854
ncn	abvd	181
nds	wikipron	210
nea	abvd	205
nee	abvd	362
nek	abvd	140
nem	abvd	415
nen	abvd	376
nep	wikipron	1926
new	wikipron	413
nfl	abvd	310
ngr	abvd	192
nhg	wikipron	305
nhn	wikipron	167
nho	abvd	174
nhx	wikipron	146
nia	abvd	206
nij	abvd	567
nil	abvd	117
nio	northeuralex	1023
niu	abvd	253
niv	northeuralex	833
niv	wikipron	130
nke	abvd	249
nkk	abvd	110
nkr	abvd	201
nld	northeuralex	1111
nld	wikipron	40334
nld	wold	969
nlg	abvd	238
nmb	abvd	542
nmk	abvd	521
nmm	wold	962
nms	abvd	1922
nmw	abvd	83
nmy	wikipron	356
nnd	abvd	328
nno	wikipron	4675
nob	wikipron	3188
non	wikipron	240
nor	northeuralex	1040
nor	wikipron	1396
nrf	wikipron	186
nrg	abvd	249
nrz	abvd	306
nsn	abvd	434
nss	abvd	98
nsw	abvd	243
nsy	abvd	206
ntu	abvd	225
nua	abvd	162
num	abvd	97
nup	wikipron	408
nuq	abvd	152
nur	abvd	377
nuw	abvd	86
nvh	abvd	168
nwi	abvd	928
nxa	abvd	201
nxe	abvd	92
nxg	abvd	217
nxl	abvd	153
nxq	sinotibetan	261
nya	wikipron	824
obr	sinotibetan	241
och	sinotibetan	289
oci	wikipron	579
ofs	wikipron	169
ojv	abvd	212
okm	wikipron	587
olo	northeuralex	1214
olo	wikipron	263
omb	abvd	1528
onu	abvd	450
ora	abvd	187
orh	wold	1122
orv	wikipron	1064
osp	wikipron	614
oss	northeuralex	1143
osx	wikipron	249
ota	wikipron	189
otd	abvd	228
ote	wold	2078
oyy	abvd	160
pag	abvd	283
pag	wikipron	209
pam	abvd	432
pam	wikipron	547
pan	wikipron	1241
pat	abvd	190
pau	abvd	215
pbu	northeuralex	1057
pbv	wikipron	101
pcc	wikipron	143
pdc	wikipron	164
pdo	abvd	187
pes	northeuralex	1112
pgk	abvd	462
phl	wikipron	2144
pif	abvd	171
piv	abvd	243
piz	abvd	351
pjt	wikipron	124
pkg	abvd	101
pkp	abvd	359
plb	abvd	110
ple	abvd	198
plh	abvd	190
plt	abvd	537
plt	wold	1513
plv	abvd	333
plw	abvd	355
pma	abvd	561
pme	abvd	150
pmf	abvd	212
pmi	sinotibetan	254
pmo	abvd	220
pms	wikipron	866
pmt	abvd	262
pnh	abvd	296
pns	abvd	76
pol	wikipron	130133
pon	abvd	252
pop	abvd	303
por	wikipron	201945
pox	wikipron	307
ppk	abvd	237
ppl	wikipron	264
ppu	abvd	888
pqm	wikipron	150
pri	abvd	363
pse	abvd	457
pss	abvd	202
psw	abvd	378
ptp	abvd	160
ptr	abvd	114
ptv	abvd	160
pus	wikipron	1252
puw	abvd	314
pwg	abvd	250
pwn	abvd	678
pyu	abvd	1050
qvi	wold	1075
qxs	sinotibetan	269
rad	abvd	242
rai	abvd	190
rak	abvd	103
rap	abvd	348
rar	abvd	464
ray	abvd	251
raz	abvd	179
ree	abvd	205
rej	abvd	232
rga	abvd	155
rgn	wikipron	266
rif	wold	1525
rkh	abvd	287
rmm	abvd	127
rnn	abvd	175
roe	abvd	188
rog	abvd	200
rol	abvd	210
rom	wikipron	120
ron	wikipron	6056
rpn	abvd	164
rri	abvd	220
rro	abvd	202
rtm	abvd	217
rug	abvd	232
rup	wikipron	175
rus	wikipron	411125
sah	wikipron	207
san	wikipron	12907
sas	abvd	262
sax	abvd	385
sbb	abvd	234
sbc	abvd	109
sbe	abvd	286
sbh	abvd	99
sbl	abvd	377
sce	wikipron	125
scn	wikipron	1154
sco	wikipron	1142
sda	abvd	209
sdc	wikipron	316
sel	northeuralex	886
sew	abvd	209
sga	wikipron	2044
sgb	abvd	328
sgd	abvd	403
sge	abvd	201
sgz	abvd	199
shn	wikipron	2455
sia	wikipron	180
sid	wikipron	296
sih	abvd	299
sij	abvd	224
sin	wikipron	282
sjd	wikipron	322
sjm	abvd	352
sjr	abvd	192
ske	abvd	383
skg	abvd	308
ski	abvd	417
skr	wikipron	213
sku	abvd	392
sky	abvd	218
skz	abvd	185
slk	wikipron	2540
slm	abvd	244
slp	abvd	218
slr	wikipron	182
slu	abvd	195
slv	wikipron	4777
sma	northeuralex	1050
sme	wikipron	4094
smj	northeuralex	1192
smk	abvd	139
sml	abvd	312
smn	northeuralex	1053
smo	abvd	296
smr	abvd	174
sms	wikipron	78
smw	abvd	213
snc	abvd	502
snd	wikipron	121
sne	abvd	232
snl	abvd	179
sns	abvd	740
sob	abvd	201
sol	abvd	195
sov	abvd	435
spa	wikipron	116648
sps	abvd	176
sqi	wikipron	1977
srd	wikipron	689
srm	wold	1082
srn	wikipron	195
srs	wikipron	137
srw	abvd	119
ssb	abvd	214
ssf	abvd	212
ssg	abvd	260
sso	abvd	193
ssq	abvd	202
ssv	abvd	272
ssz	abvd	291
stn	abvd	281
stq	wikipron	797
stw	abvd	173
suc	abvd	332
sun	abvd	217
sve	abvd	122
swa	wikipron	110
swe	wikipron	4614
swh	wold	1610
swp	abvd	233
sww	abvd	402
sxn	abvd	346
sxr	abvd	434
syb	abvd	182
syc	wikipron	6319
syl	wikipron	292
szl	wikipron	1886
tah	abvd	527
tam	wikipron	6903
tao	abvd	414
tat	northeuralex	1009
tay	abvd	1507
tbc	abvd	331
tbc	wold	1106
tbe	abvd	179
tbf	abvd	288
tbj	abvd	186
tbk	abvd	178
tbl	abvd	259
tbo	abvd	206
tby	wikipron	100
tdi	abvd	134
tdt	abvd	363
tdx	abvd	345
tdy	abvd	240
tel	wikipron	3295
tes	abvd	246
tet	abvd	286
tft	wikipron	229
tgc	abvd	186
tgi	abvd	201
tgk	wikipron	696
tgl	wikipron	17909
tgn	abvd	150
tgo	abvd	292
tgp	abvd	158
tgs	abvd	167
tgt	abvd	180
tha	wikipron	16689
tih	abvd	229
tio	abvd	252
tiy	abvd	242
tjg	abvd	195
tji	sinotibetan	241
tkd	abvd	183
tkl	wikipron	328
tkp	abvd	242
tkw	abvd	351
tlk	abvd	134
tlm	abvd	145
tlr	abvd	618
tls	abvd	168
tlu	abvd	192
tlv	abvd	213
tlx	abvd	288
tmb	abvd	1014
tmi	abvd	150
tmt	abvd	103
tmy	abvd	190
tnk	abvd	544
tnl	abvd	577
tnn	abvd	164
tnp	abvd	265
tnt	abvd	206
tnx	abvd	187
ton	wikipron	165
tox	abvd	221
tpf	abvd	193
tpw	wikipron	353
tql	abvd	172
tqp	abvd	385
tru	wikipron	163
trv	abvd	676
tsg	abvd	216
tsr	abvd	330
tsu	abvd	529
tte	abvd	198
tti	abvd	133
ttu	abvd	196
ttv	abvd	288
tuc	abvd	187
tuk	wikipron	130
tur	wikipron	7221
tva	abvd	262
tve	abvd	117
tvk	abvd	432
tvl	abvd	385
tvm	abvd	121
twf	wikipron	135
twu	abvd	194
txe	abvd	219
txm	abvd	214
txn	abvd	382
txs	abvd	269
tyv	wikipron	492
tzm	wikipron	694
tzn	abvd	339
tzz	wold	1188
ubl	abvd	174
ubr	abvd	184
uby	wikipron	1314
udj	abvd	225
udm	northeuralex	973
ues	abvd	349
uge	abvd	201
uig	wikipron	1418
ukr	wikipron	39517
uli	abvd	316
upv	abvd	1387
urd	wikipron	4493
urk	wikipron	565
urr	abvd	169
urv	abvd	242
utp	abvd	181
uun	abvd	684
uur	abvd	298
uve	abvd	200
uvl	abvd	331
uzb	wikipron	289
uzn	northeuralex	960
vao	abvd	449
vbb	abvd	114
vep	northeuralex	1004
vie	wikipron	71686
viv	abvd	241
vkl	abvd	219
vlp	abvd	228
vme	abvd	115
vmg	abvd	231
vnk	abvd	212
vnm	abvd	702
vnp	abvd	114
vol	wikipron	388
vot	wikipron	2117
vra	abvd	174
vrs	abvd	348
vrt	abvd	583
wab	abvd	163
wad	abvd	235
wah	abvd	189
war	abvd	349
wau	wikipron	151
wbk	wikipron	112
wed	abvd	353
wet	abvd	120
wew	abvd	204
whk	abvd	54
wiv	abvd	207
wiy	wikipron	152
wlm	wikipron	151
wln	wikipron	2518
wlo	abvd	249
wlr	abvd	116
wls	abvd	267
wmh	abvd	254
wmn	abvd	144
wnk	abvd	216
woc	abvd	324
woe	abvd	543
wow	abvd	197
wrp	abvd	255
wru	abvd	170
wsi	abvd	421
wuv	abvd	274
wwo	abvd	288
wyy	abvd	354
xal	wikipron	328
xay	abvd	137
xbr	abvd	735
xho	wikipron	875
xkl	abvd	296
xkq	abvd	137
xks	abvd	358
xmt	abvd	183
xmz	abvd	425
xnb	abvd	350
xnn	abvd	177
xsb	abvd	140
xsi	abvd	211
xsl	wikipron	137
xsy	abvd	454
yap	abvd	255
yaq	wold	1369
ybi	wikipron	136
ycl	wikipron	110
yid	wikipron	3572
yka	abvd	228
ykg	northeuralex	812
ykm	abvd	160
yly	abvd	543
yml	abvd	240
yog	abvd	251
yor	wikipron	4850
yrk	wikipron	233
yue	wikipron	102881
yux	wikipron	200
zbw	abvd	210
zgr	abvd	180
zha	wikipron	1399
zho	wikipron	159038
zlm	abvd	383
zom	wikipron	140
zsm	abvd	644
zul	wikipron	1738
zza	wikipron	199
